Accession	Previous Gene Name?	Newer Gene Name?	Known Gene Name	SacCer Ortholog Gene Name	SacCer Ortholog Gene Description	Gene known not to be involved in virulence	Gene involved in melanin production	Gene involved in capsule production	Gene with increased virulence in KO	Other Virulence Phenotype	Annotated as Txn Factor?	Gene found in DMEM screen	Hiten's Annotation	CH Annotation	Blast Results	Counts MSTEST-1A	Counts MSTEST-1B	Counts MSTEST-4-6A	Counts MSTEST-4-6B	Coverage MSTEST-1A	Coverage MSTEST-1B	Coverage MSTEST-4-6A	Coverage MSTEST-4-6B	Ratio of average counts from MSTEST-4-6/MSTEST-1	
CNAG_01480T0			NO	YDR418W,YEL054C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L12B; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12B has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L12A; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12A has a paralog	NO					NO	YES	RPL12A Ribosomal 60S subunit protein L12A; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12A has a paralog, RPL12B, that arose from the whole genome duplication		Phlebotomus papatasi 60S ribosomal protein L12-like protein mRNA, complete cds; Volvox carteri f. nagariensis component of cytosolic 80S ribosome and 60S large subunit (rpl12), mRNA; Chlamydomonas reinhardtii strain CC-503 cw92 mt+	18	6	72	44	35.20%	34.50%	22.10%	30.20%	4.83333333333	
CNAG_03563T0			NO	YLL018C	, "Aspartyl-tRNA synthetase	NO					NO	YES	DPS1 Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation		Chondrus crispus asparagine--tRNA ligase, chloroplast precursor (CHC_T00008942001) mRNA, complete cds; Encephalitozoon intestinalis ATCC 50506 aspartyl-tRNA synthetase (Eint_060710) mRNA, complete cds; Paracoccidioides brasiliensis Pb01 aspartyl-tRNA synthetase, mRNA	8	16	56	54	7.60%	7.70%	31.90%	36.10%	4.58333333333	
CNAG_07445T0		CNAG_00965,CNAG_07206	NO	YBR117C,YPR074C	TransKetoLase, "Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog,TransKetoLase, "Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL1 has a paralog	NO					NO	NO	TKL1 Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL1 has a paralog, TKL2, that arose from the whole genome duplication		Perkinsus marinus ATCC 50983 transketolase, putative, mRNA; Perkinsus marinus ATCC 50983 Transketolase, putative, mRNA; Trypanosoma cruzi strain CL Brener transketolase gene, complete cds	18	6	59	49	12.10%	16.20%	78.70%	47.30%	4.5	
CNAG_03015T0			NO	YDR500C,YLR185W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L37B; protein abundance increases in response to DNA replication stress; homologous to mammalian ribosomal protein L37,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L37A; homologous to mammalian ribosomal protein L37	NO					NO	NO	RPL37A Ribosomal 60S subunit protein L37A; homologous to mammalian ribosomal protein L37, no bacterial homolog; RPL37A has a paralog, RPL37B, that arose from the whole genome duplication		Zygosaccharomyces rouxii 60S ribosomal protein L37, partial mRNA; Zygosaccharomyces rouxii strain CBS 732 Contig1; Torulaspora delbrueckii 60S ribosomal protein L37, partial mRNA	8	15	34	73	18.70%	20.90%	17.40%	32.00%	4.65217391304	
CNAG_02382T0			NO	YOL077C	Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog, "Nucleolar protein	NO					NO	YES	BRX1 Nucleolar protein, constituent of 66S pre-ribosomal particles; depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits; possesses a sigma(70)-like RNA-binding motif		Tetrapisispora phaffii CBS 4417 ribosome biogenesis protein BRX1, partial mRNA; Trypanosoma cruzi strain CL Brener ribosome biogenesis protein partial mRNA; Trypanosoma cruzi strain CL Brener ribosome biogenesis protein partial mRNA	8	15	46	58	12.50%	35.50%	43.00%	64.90%	4.52173913043	
CNAG_06699T0			NO	YGR192C,YJL052W,YJR009C	Triose-phosphate DeHydrogenase, "Glyceraldehyde-3-phosphate dehydrogenase,Triose-phosphate DeHydrogenase, "Glyceraldehyde-3-phosphate dehydrogenase,Triose-phosphate DeHydrogenase, "Glyceraldehyde-3-phosphate dehydrogenase	NO					NO	YES	TDH2 Glyceraldehyde-3-phosphate dehydrogenase, isozyme 2; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; protein abundance increases in response to DNA replication stress		Xanthophyllomyces dendrorhous gpd gene; AF006483 Phaffia rhodozyma glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, complete cds; PREDICTED: Jaculus jaculus glyceraldehyde-3-phosphate dehydrogenase (Gapdh), mRNA	8	14	49	54	14.70%	18.60%	52.90%	58.30%	4.68181818182	
CNAG_02175T0			NO	YGL173C,YOR048C	eXoRiboNuclease, "Evolutionarily-conserved 5'-3' exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay; plays a role in microtubule-mediated processes,Ribonucleic Acid Trafficking, "Nuclear 5' to 3' single-stranded RNA exonuclease	NO					NO	YES	RAT1 Nuclear 5' to 3' single-stranded RNA exonuclease, involved in RNA metabolism, including rRNA and snRNA processing as well as poly (A+) dependent and independent mRNA transcription termination		PREDICTED: Oryzias latipes 5'-3' exoribonuclease 1-like (LOC101169885), mRNA; PREDICTED: Nasonia vitripennis 5'-3' exoribonuclease 1-like, transcript variant 2 (LOC100119339), mRNA; PREDICTED: Nasonia vitripennis 5'-3' exoribonuclease 1-like, transcript variant 1 (LOC100119339), mRNA	12	10	46	56	3.10%	4.60%	17.60%	25.00%	4.63636363636	
CNAG_03765T0			NO	YDR074W	Trehalose-6-phosphate PhoSphatase, Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress	NO					NO	NO	TPS2 Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress	Tps2(Required for high temperature growth and glycolysis)TPS2(Alpha,alpha-trehalose-phosphate synthase [UDP-forming])	Arthroderma gypseum CBS 118893 trehalose-phosphatase (MGYG_05670) mRNA, complete cds; Trichophyton rubrum CBS 118892 trehalose-phosphatase (TERG_02547) mRNA, complete cds; Acanthamoeba castellanii str. Neff trehalosephosphatase (ACA1_112850) mRNA, complete cds	14	8	49	53	4.00%	5.80%	48.10%	57.60%	4.63636363636	
CNAG_07507T0		CNAG_02970,CNAG_07154,CNAG_07243	NO	YCL032W	STErile, "Protein involved in mating response	NO					NO	NO	STE50 Protein involved in mating response, invasive/filamentous growth, and osmotolerance, acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction	STE50(Adaptor protein, protein kinase regulator)	Paracoccidioides brasiliensis Pb01 kinase regulator Ste50, mRNA; Aedes aegypti insect origin recognition complex subunit partial mRNA; Arthroderma otae CBS 113480 protein kinase regulator Ste50, mRNA	10	11	29	72	1.10%	3.50%	39.00%	61.00%	4.80952380952	
CNAG_05274T0			NO			NO					NO	NO	STE/STE20/YSK protein kinase    PF00069.17 Pkinase PF07714.9 Pkinase_Tyr		Pyrenophora tritici-repentis Pt-1C-BFP serine/threonine-protein kinase 3, mRNA; Sordaria macrospora k-hell germinal center kinases group protein (SMAC_04490), mRNA; Talaromyces stipitatus ATCC 10500 Mst3-like protein kinase, putative, mRNA	16	5	39	62	11.90%	10.30%	31.60%	38.60%	4.80952380952	
CNAG_00547T0			NO			NO					NO	NO	conserved hypothetical protein    PF00169.21 PH		Arabidopsis thaliana Adenine nucleotide alpha hydrolases-like superfamily protein mRNA, complete cds; Arabidopsis thaliana At4g13450 mRNA, complete cds; Arabidopsis thaliana Adenine nucleotide alpha hydrolases-like superfamily protein mRNA, complete cds >gi	11	10	44	57	6.20%	4.00%	55.40%	49.10%	4.80952380952	
CNAG_03959T0			NO			NO					NO	YES	conserved hypothetical protein		Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Xlr4a:tm1a(KOMP)Wtsi; transgenic; Mus musculus targeted non-conditional, lacZ-tagged mutant allele Xlr4a:tm1e(KOMP)Wtsi; transgenic; Mus musculus X-linked lymphocyte-regulated 4E, pseudogene (Xlr4e-ps) on chromosome X	7	14	46	55	29.60%	31.90%	44.40%	48.90%	4.80952380952	
CNAG_03000T0			NO	YNL302C,YOL121C	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19	NO					NO	YES	RPS19A Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19, no bacterial homolog; mutations in human RPS19 are associated with Diamond Blackfan anemia; RPS19A has a paralog, RPS19B, that arose from the whole genome duplication		Ricinus communis 40S ribosomal protein S19, putative, mRNA; Arabidopsis lyrata subsp. lyrata 40S ribosomal protein S19, mRNA; Arabidopsis thaliana 40S ribosomal protein S19-3 mRNA, complete cds	2	19	43	55	17.40%	41.00%	50.20%	50.20%	4.66666666667	
CNAG_05755T0			NO	YAL025C	MAintenance of Killer, "Essential nuclear protein	NO					NO	NO	MAK16 Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus		Coprinopsis cinerea okayama7#130 66S preribosome component MAK16, partial mRNA; PREDICTED: Nasonia vitripennis protein MAK16 homolog B-like (LOC100116845), mRNA; Drosophila yakuba GE15807 (Dyak\GE15807), mRNA	3	18	34	64	9.60%	13.70%	32.20%	41.50%	4.66666666667	
CNAG_04162T0			NO			NO					NO	NO	AGC/PKA protein kinase    PF00069.17 Pkinase		Trypanosoma cruzi protein kinase-A catalytic subunit (PKAC) gene, complete cds; PREDICTED: Echinops telfairi protein kinase, cAMP-dependent, catalytic, beta (PRKACB), transcript variant X2, mRNA; PREDICTED: Echinops telfairi protein kinase, cAMP-dependent, catalytic, beta (PRKACB), transcript variant X1, mRNA	6	13	33	65	2.50%	4.40%	40.90%	38.60%	5.15789473684	
CNAG_01988T0			NO			NO					NO	NO	bacteriophytochrome histidine kinase    PF00072.16 Response_reg PF00360.12 Phytochrome PF00512.17 HisKA PF01590.18 GAF PF02518.18 HATPase_c PF08446.3 PAS_2	TCO3(Two-component-like sensor kinase)	Talaromyces stipitatus ATCC 10500 sensor histidine kinase/response regulator, putative, mRNA; Penicillium marneffei ATCC 18224 sensor histidine kinase/response regulator, putative, mRNA; Mycosphaerella graminicola IPO323 phytochrome-like histidine kinase PHY1p (MYCGRDRAFT_41717) mRNA, complete cds	4	15	41	56	2.60%	4.70%	56.00%	49.70%	5.10526315789	
CNAG_04301T0			NO			NO					NO	NO	conserved hypothetical protein		PREDICTED: Ceratotherium simum simum Nance-Horan syndrome (congenital cataracts and dental anomalies) (NHS), mRNA; PREDICTED: Amphimedon queenslandica hsp90 co-chaperone Cdc37-like (LOC100633421), mRNA; Mus musculus sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain (Sema4f), transcript variant 1, mRNA	15	3	34	62	5.10%	2.40%	15.80%	22.10%	5.33333333333	
CNAG_02110T0			NO	YDL040C	N-terminal AcetylTransferase, "Subunit of the N-terminal acetyltransferase NatA (Nat1p	NO					NO	YES	NAT1 Subunit of the N-terminal acetyltransferase NatA (Nat1p, Ard1p, Nat5p); N-terminally acetylates many proteins, which influences multiple processes such as the cell cycle, heat-shock resistance, mating, sporulation, and telomeric silencing		PREDICTED: Pongo abelii F-box and WD repeat domain containing 4 (FBXW4), mRNA; Verticillium albo-atrum VaMs.102 NMDA receptor-regulated protein, mRNA; Phytophthora infestans T30-4 N-terminal acetyltransferase A complex subunit nat1-like protein (PITG_13918) mRNA, complete cds	4	14	49	46	9.50%	12.60%	25.40%	27.40%	5.27777777778	
CNAG_02257T0			NO	YLR293C,YOR185C	Genetic Suppressor of Prp20-1, "Ran GTPase,Genetic Suppressor of Prp20-1, "GTP binding protein (mammalian Ranp homolog); involved in the maintenance of nuclear organization	NO					NO	YES	GSP2 GTP binding protein (mammalian Ranp homolog); involved in the maintenance of nuclear organization, RNA processing and transport; interacts with Kap121p, Kap123p and Pdr6p (karyophilin betas); Gsp1p homolog that is not required for viability; protein abundance increases in response to DNA replication stress		PREDICTED: Brachypodium distachyon GTP-binding nuclear protein Ran-3-like (LOC100832241), mRNA; Populus EST from leave; A.thaliana mRNA for AtRan3 protein	3	13	27	68	12.30%	20.40%	25.70%	36.40%	5.9375	
CNAG_03438T0			NO	YDL138W,YDL194W,YDL245C,YDR342C,YDR343C,YDR345C,YEL069C,YFL011W,YHR092C,YHR094C,YHR096C,YIL170W,YIL171W,YJL214W,YJL219W,YJR158W,YLR081W,YMR011W,YNR072W,YOL156W	Restores Glucose Transport, Plasma membrane high glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; highly similar to Snf3p,Sucrose NonFermenting, Plasma membrane low glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; similar to Rgt2p,HeXose Transporter, "Protein of unknown function with similarity to hexose transporter family members,HeXose Transporter, "High-affinity glucose transporter of the major facilitator superfamily,HeXose Transporter, "High-affinity glucose transporter of the major facilitator superfamily,HeXose Transporter, "Low affinity glucose transporter of the major facilitator superfamily,HeXose Transporter, "Hexose transporter,HeXose Transporter, "Putative hexose transporter,HeXose Transporter, "High-affinity glucose transporter of the major facilitator superfamily,HeXose Transporter, "Low-affinity glucose transporter of the major facilitator superfamily,HeXose Transporter, "Hexose transporter with moderate affinity for glucose,HeXose Transporter, "Possible pseudogene in strain S288C; YIL170W/HXT12 and the adjacent ORF,, "Possible pseudogene in strain S288C; YIL171W and the adjacent ORF,HeXose Transporter, "Protein of unknown function with similarity to hexose transporter family members,HeXose Transporter, "Putative hexose transporter that is nearly identical to Hxt11p,HeXose Transporter, "Protein of unknown function with similarity to hexose transporter family members,GALactose metabolism, "Galactose permease,HeXose Transporter, "High-affinity glucose transporter of the major facilitator superfamily,HeXose Transporter, "Hexose transporter,HeXose Transporter, "Putative hexose transporter that is nearly identical to Hxt9p	NO					NO	NO	HXT11 Putative hexose transporter that is nearly identical to Hxt9p, has similarity to major facilitator superfamily (MFS) transporters and is involved in pleiotropic drug resistance	Snf3(Sensor of extracellular glucose, resembles transporter)HXT1(Hexose transporter)	Mus musculus alpha thalassemia/mental retardation syndrome X-linked homolog (human) (Atrx), mRNA; Candida orthopsilosis Co 90-125, chromosome 1 draft sequence; Mus musculus targeted non-conditional, lacZ-tagged mutant allele Arl5b:tm1e(EUCOMM)Hmgu; transgenic	1	14	51	44	5.00%	2.10%	62.00%	79.30%	6.33333333333	
CNAG_05609T0			NO	YAL019W	Function Unknown Now, "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus	NO					NO	YES	FUN30 Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; involved in double-strand break (DSB) response; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies		PREDICTED: Glycine max chromodomain-helicase-DNA-binding protein 2-like (LOC100792398), mRNA; PREDICTED: Gallus gallus SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 (SMARCA1), transcript variant X3, mRNA; PREDICTED: Gallus gallus SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 (SMARCA1), transcript variant X2, mRNA	0	15	37	58	0	3.50%	46.90%	47.80%	6.33333333333	
CNAG_00455T0			NO	YNL186W	UBiquitin-specific Protease, "Ubiquitin-specific protease	NO					NO	NO	UBP10 Ubiquitin-specific protease, deubiquitinates Ub-protein moieties; interacts with proteins that function in rRNA production and ribosome biogenesis; stabilizes Rpa190p, the largest subunit of RNAP I, by mediating its deubiquitination; may regulate silencing by acting on Sir4p; involved in posttranscriptionally regulating Gap1p and possibly other transporters; localized to the nucleolus; human USP36 is a functional analog of Ubp10p		Homo sapiens hemicentin 1 (HMCN1), RefSeqGene on chromosome 1; Homo sapiens immunoglobulin superfamily, member 4D (IGSF4) gene, complete cds, alternatively spliced; PREDICTED: Saccoglossus kowalevskii protein tyrosine phosphatase, non-receptor type 13-like (LOC100371139), mRNA	3	12	23	69	1.80%	12.80%	34.30%	53.20%	6.13333333333	
CNAG_05750T0			NO	YBL099W	ATP synthase, "Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase	NO					NO	YES	ATP1 Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated	ATP1(ATP synthase subunit alpha)	PREDICTED: Gallus gallus ATP synthase subunit alpha (ATP5A1W), transcript variant X2, mRNA; Debaryomyces hansenii CBS767 DEHA2D13398p (DEHA2D13398g) mRNA, complete cds; Anas platyrhynchos ATP5A1 mRNA for mitochondrial ATP synthase alpha subunit isoform 1, partial cds, a part of 5' portion	2	13	32	60	6.70%	4.60%	24.30%	33.70%	6.13333333333	
CNAG_05518T0			NO	YPR055W	SECretory, "Essential 121kDa subunit of the exocyst complex (Sec3p	NO					NO	YES	SEC8 Essential 121kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis		AF017253 Hirudo medicinalis homeobox protein LOX6 (Lox6) mRNA, partial cds; Homo sapiens Prader-Willi region non-protein coding RNA 1 (PWRN1), RefSeqGene on chromosome 15; DROSLO D.melanogaster calcium-activated K+ channel subunit (slo) mRNA, 3' end	11	3	48	43	4.70%	4.20%	43.90%	33.90%	6.5	
CNAG_01164T0			NO	YKL104C	Glutamine:Fructose-6-phosphate Amidotransferase, "Glutamine-fructose-6-phosphate amidotransferase; catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis; GFA1 has a paralogous region	NO					NO	YES	GFA1 Glutamine-fructose-6-phosphate amidotransferase; catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis; GFA1 has a paralogous region, comprising ORFs YMR084W-YMR085W, that arose from the whole genome duplication		PREDICTED: Ovis aries glutamine-fructose-6-phosphate transaminase 2 (GFPT2), mRNA; Leptosphaeria maculans JN3 similar to gi; Medicago truncatula Glucosamine-fructose-6-phosphate aminotransferase (MTR_7g080270) mRNA, complete cds	11	3	38	52	10.80%	5.50%	21.70%	30.90%	6.42857142857	
CNAG_05918T0			NO	YJR121W	ATP synthase, "Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase	NO					NO	YES	ATP2 Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated		Euscelidius variegatus ATP synthase beta subunit mRNA, partial cds; Euprymna scolopes ATP synthase beta subunit mRNA, partial cds; Macrocallista sp. JV-2012 mitochondrial ATP synthase beta subunit (atpb) gene, partial cds; nuclear gene for mitochondrial product	2	12	35	54	6.60%	25.20%	12.00%	16.90%	6.35714285714	
CNAG_03389T0			NO	YLL057C	dnaJ-Like Protein, "Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase	NO					NO	YES	JLP1 Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase, involved in sulfonate catabolism for use as a sulfur source; contains sequence that resembles a J domain (typified by the E. coli DnaJ protein); induced by sulphur starvation		Periophthalmus magnuspinnatus isolate H160 NADH dehydrogenase subunit 5 (ND5) and cytochrome b (cytb) genes, partial cds; mitochondrial; Pseudomonas aeruginosa c7447m genome; Periophthalmus magnuspinnatus isolate H154 NADH dehydrogenase subunit 5 (ND5) and cytochrome b (cytb) genes, partial cds; mitochondrial	0	13	37	51	0	6.30%	21.80%	32.30%	6.76923076923	
CNAG_06127T0			NO	YER126C	Nop Seven Associated, "Protein constituent of 66S pre-ribosomal particles	NO					NO	NO	NSA2 Protein constituent of 66S pre-ribosomal particles, contributes to processing of the 27S pre-rRNA		Oryzias melastigma TGF-beta-inducible nuclear protein 1 mRNA, partial cds; PREDICTED: Cicer arietinum ribosome biogenesis protein NSA2 homolog (LOC101506192), mRNA; PREDICTED: Cicer arietinum ribosome biogenesis protein NSA2 homolog (LOC101511138), mRNA	1	12	37	51	2.70%	16.20%	37.10%	26.60%	6.76923076923	
CNAG_01137T0			NO	YJL200C,YLR304C	ACOnitase, "Putative mitochondrial aconitase isozyme; similarity to Aco1p,ACOnitase, "Aconitase	NO					NO	YES	ACO1 Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy		Fibrella aestuarina BUZ 2 drat genome; Aspergillus niger CBS 513.88 aconitate hydratase, mRNA; Schistosoma mansoni aconitate hydratase (Smp_063090) mRNA, complete cds	2	11	20	66	2.00%	3.90%	17.00%	29.00%	6.61538461538	
CNAG_07561T0			NO	YGR256W,YHR183W	, "6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone; GND2 has a paralog,, "6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog	NO					NO	NO	GND1 6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication		Uncinocarpus reesii 1704 6-phosphogluconate dehydrogenase (decarboxylating), mRNA; Pyrenophora tritici-repentis Pt-1C-BFP 6-phosphogluconate dehydrogenase 1, mRNA; Drosophila tripunctata phosphogluconate dehydrogenase (pgd) gene, partial cds	1	11	38	48	5.30%	18.50%	31.10%	32.00%	7.16666666667	
CNAG_03641T0			NO			NO					NO	YES	eukaryotic translation initiation factor 3 subunit 7    PF05091.4 eIF-3_zeta		Coccidioides posadasii C735 delta SOWgp translation initiation factor 3 subunit, putative, mRNA; Coccidioides immitis RS eukaryotic translation initiation factor 3 subunit 7 homolog (CIMG_02370) partial mRNA; PREDICTED: Cucumis sativus eukaryotic translation initiation factor 3 subunit D-like (LOC101208923), mRNA	0	11	31	54	0	5.30%	28.20%	28.20%	7.72727272727	
CNAG_06222T0			NO	YBL092W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L32; overexpression disrupts telomeric silencing; homologous to mammalian ribosomal protein L32	NO					NO	YES	RPL32 Ribosomal 60S subunit protein L32; overexpression disrupts telomeric silencing; homologous to mammalian ribosomal protein L32, no bacterial homolog		Tetraodon nigroviridis full-length cDNA; Neosartorya fischeri NRRL 181 60S ribosomal protein L32, partial mRNA; Mycosphaerella graminicola IPO323 60S ribosomal protein L32 (MYCGRDRAFT_103191) mRNA, complete cds	21	43	33	52	35.70%	69.00%	26.00%	21.40%	1.328125	
CNAG_03739T0			NO	YLR075W	Ribosomal Protein of the Large subunit, Ribosomal 60S subunit protein L10; responsible for joining the 40S and 60S subunits; regulates translation initiation; similar to members of the QM gene family; homologous to mammalian ribosomal protein L10 and bacterial L16; protein abundance increases in response to DNA replication stress	NO					NO	YES	RPL10 Ribosomal 60S subunit protein L10; responsible for joining the 40S and 60S subunits; regulates translation initiation; similar to members of the QM gene family; homologous to mammalian ribosomal protein L10 and bacterial L16; protein abundance increases in response to DNA replication stress		Nectria haematococca mpVI 77-13-4 60S ribosomal protein L10, partial mRNA; PREDICTED: Ochotona princeps ribosomal protein L10 (RPL10), transcript variant X1, mRNA; Sudhausia aristotokia large subunit ribosomal protein 10 (rpl-10) gene, partial cds	19	49	31	53	31.50%	62.50%	15.30%	22.90%	1.23529411765	
CNAG_04441T0			NO	YER165W	Poly(A) Binding protein, "Poly(A) binding protein	NO					NO	YES	PAB1 Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G		Neurospora crassa OR74A polyadenylate-binding protein partial mRNA; Candida tropicalis MYA-3404 polyadenylate-binding protein, mRNA; Pichia pastoris CBS 7435 chromosome 2, complete replicon sequence	2	13	20	63	7.30%	17.80%	27.00%	34.30%	5.53333333333	
CNAG_02331T0			NO	YBR189W,YPL081W	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9B has a paralog,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9A has a paralog	NO					NO	YES	RPS9A Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9A has a paralog, RPS9B, that arose from the whole genome duplication		Schizophyllum commune H4-8 40S ribosomal protein S9, partial mRNA; Laccaria bicolor S238N-H82 40S ribosomal protein S9, partial mRNA; Postia placenta Mad-698-R 40S ribosomal protein S9, mRNA	29	61	35	47	35.20%	47.70%	42.00%	49.10%	0.911111111111	
CNAG_04640T0			NO			NO					NO	YES	acly protein    PF02629.11 CoA_binding	ACL1(ATP-citrate lyase)	Schizosaccharomyces pombe 972h- ATP citrate synthase subunit 1 (predicted) (SPBC1703.07), mRNA; PREDICTED: Meleagris gallopavo ATP citrate lyase, transcript variant 2 (ACLY), mRNA; PREDICTED: Meleagris gallopavo ATP citrate lyase, transcript variant 1 (ACLY), mRNA	5	19	37	45	5.00%	11.00%	16.00%	22.80%	3.41666666667	
CNAG_03780T0			NO	YDL083C,YMR143W	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S16 and bacterial S9; RPS16B has a paralog,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S16 and bacterial S9; RPS16A has a paralog	NO					NO	YES	RPS16A Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S16 and bacterial S9; RPS16A has a paralog, RPS16B, that arose from the whole genome duplication		Pectinaria gouldii 40S ribosomal S16-like protein mRNA, complete cds; Tetrapisispora phaffii CBS 4417 40S ribosomal protein S16, partial mRNA; Torulaspora delbrueckii 40S ribosomal protein S16, partial mRNA	10	27	30	52	10.00%	53.60%	48.60%	69.30%	2.21621621622	
