	Five_p_Score	Three_p_Score	150904CM018-A_end	150904CM018-B_end	150904CM018-W_end	150904CM763-A_end	150904CM763-B_end	150904CM763-W_end	150904CM764-A_end	150904CM764-B_end	150904CM018-A_total	150904CM018-B_total	150904CM018-W_total	150904CM763-A_total	150904CM763-B_total	150904CM763-W_total	150904CM764-A_total	150904CM764-B_total	Length	150904CM763-A_end_norm	150904CM764-A_end_norm
CNAG_04619T0-2	6.26720933388	10.3687423687	0	0	0	0	0	0	0	0	1.0	4.0	128.0	90.0	435.0	18.0	61.0	72.0	3175	0.0	0.0
CNAG_04619T0-3	6.74605887939	11.5794329128	0	0	0	0	0	0	0	0	1.0	4.0	128.0	90.0	435.0	18.0	61.0	72.0	3175	0.0	0.0
CNAG_04619T0-4	5.38499525166	10.9091846425	0	0	0	0	0	0	0	0	1.0	4.0	128.0	90.0	435.0	18.0	61.0	72.0	3175	0.0	0.0
CNAG_04619T0-5	6.72001085334	9.88066748067	0	0	0	1	0	0	2	0	1.0	4.0	128.0	90.0	435.0	18.0	61.0	72.0	3175	0.0115995988112	0.0543671081736
CNAG_04619T0-6	5.67711301045	13.3522181522	0	0	0	0	0	0	0	0	1.0	4.0	128.0	90.0	435.0	18.0	61.0	72.0	3175	0.0	0.0
CNAG_04619T0-7	5.8265635599	8.38306878307	0	0	0	1	0	0	1	0	1.0	4.0	128.0	90.0	435.0	18.0	61.0	72.0	3175	0.0115995988112	0.0135917770434
CNAG_04619T0-8	6.63481210148	11.0105006105	0	0	0	0	0	0	0	0	1.0	4.0	128.0	90.0	435.0	18.0	61.0	72.0	3175	0.0	0.0
CNAG_04620T0-1	5.42395875729	13.344675078	0	0	0	0	0	0	0	0	5.0	7.0	1152.0	49.0	288.0	69.0	42.0	65.0	1314	0.0	0.0
CNAG_04621T0-1	5.30538597205	13.171618505	0	0	0	7	6	0	9	1	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.0483751611546	0.0646551743207
CNAG_04621T0-2	5.88500881834	13.7060914394	0	0	0	3	1	0	2	1	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.00888523368145	0.0031928481146
CNAG_04621T0-3	4.97115723782	13.4019807353	0	0	1	10	5	0	6	0	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.0987248186828	0.0287356330314
CNAG_04621T0-4	6.80645773979	13.0414326414	0	0	0	13	2	0	6	0	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.166844943574	0.0287356330314
CNAG_04621T0-5	5.90850630851	12.7356939357	0	0	0	7	4	0	9	0	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.0483751611546	0.0646551743207
CNAG_04621T0-6	5.46970560304	12.9154253154	0	0	0	9	1	0	7	0	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.0799671031331	0.0391123894039
CNAG_04621T0-7	5.75818749152	11.042300909	0	0	0	9	3	0	2	0	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.0799671031331	0.0031928481146
CNAG_04621T0-8	6.18201058201	12.6949396283	0	0	0	2	2	0	9	1	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.00394899274731	0.0646551743207
CNAG_04621T0-9	7.29990503324	9.57753357753	0	0	0	2	7	0	5	2	38.0	90.0	6159.0	818.0	5111.0	255.0	998.0	1226.0	3585	0.00394899274731	0.0199553007163
CNAG_04622T0-1	5.38499525166	13.5477411477	1	0	0	16	5	0	13	1	6.0	15.0	274.0	285.0	1345.0	32.0	413.0	439.0	2536	0.960395036146	0.376730622014
CNAG_04622T0-2	6.7572378239	13.1736263736	0	0	0	5	3	0	5	0	6.0	15.0	274.0	285.0	1345.0	32.0	413.0	439.0	2536	0.0937885777487	0.0557293819547
CNAG_04625T0-1	5.93124406458	9.00002713336	0	0	0	15	7	0	15	2	70.0	220.0	11376.0	1572.0	7078.0	418.0	2029.0	1988.0	2334	0.160399934112	0.110757941702
CNAG_04625T0-2	5.84875864876	11.0297652964	4	4	0	314	56	1	341	10	70.0	220.0	11376.0	1572.0	7078.0	418.0	2029.0	1988.0	2334	70.2879640166	57.240196529
CNAG_04625T0-3	5.75818749152	12.5943291277	0	0	0	29	14	0	27	2	70.0	220.0	11376.0	1572.0	7078.0	418.0	2029.0	1988.0	2334	0.599539309282	0.358855731114
CNAG_04626T0-1	5.90280830281	12.8481345815	0	0	0	2	1	0	0	1	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0150846800684	0.0
CNAG_04626T0-10	5.44609957943	13.2081400081	0	0	0	1	1	0	1	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0037711700171	0.00393015239809
CNAG_04626T0-11	7.84544837878	13.121041921	0	0	0	0	0	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0	0.0
CNAG_04626T0-12	6.42962962963	13.3448378782	0	0	0	1	0	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0037711700171	0.0
CNAG_04626T0-13	5.4071360738	11.5800298467	0	0	0	0	1	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0	0.0
CNAG_04626T0-14	5.05076651743	12.6424094424	0	0	0	0	0	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0	0.0
CNAG_04626T0-2	8.32722832723	12.6620539954	0	0	0	0	1	0	2	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0	0.0157206095924
CNAG_04626T0-3	5.67711301045	11.5534934202	0	0	0	0	1	0	0	1	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0	0.0
CNAG_04626T0-4	6.36342423009	12.8959435626	0	0	0	0	1	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0	0.0
CNAG_04626T0-5	5.17758784425	11.7415276082	0	0	0	1	1	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0037711700171	0.0
CNAG_04626T0-6	6.59270112603	13.1442680776	0	0	0	2	0	0	1	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0150846800684	0.00393015239809
CNAG_04626T0-7	6.13089133089	10.6361145028	0	0	0	1	2	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0037711700171	0.0
CNAG_04626T0-8	7.38070818071	12.7911002578	0	0	0	1	1	0	1	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0037711700171	0.00393015239809
CNAG_04626T0-9	7.36464523131	10.5261158594	0	0	0	1	0	0	0	0	4.0	10.0	154.0	221.0	1338.0	16.0	198.0	249.0	4523	0.0037711700171	0.0
CNAG_04627T0-1	5.05076651743	12.6305250305	0	0	0	2	0	0	0	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.0245240606701	0.0
CNAG_04627T0-2	7.18106091439	9.53287206621	0	0	0	3	0	0	2	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.0551791365078	0.0310669189564
CNAG_04627T0-3	5.4071360738	13.3427757428	0	0	0	0	2	0	2	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.0	0.0310669189564
CNAG_04627T0-4	5.30538597205	13.4087098087	0	0	0	0	1	0	0	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.0	0.0
CNAG_04627T0-5	8.37617690951	10.4108533442	0	0	0	6	0	0	0	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.220716546031	0.0
CNAG_04627T0-6	5.61638854972	12.7861077194	0	0	0	1	0	0	1	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.00613101516753	0.00776672973909
CNAG_04627T0-7	7.61562881563	11.1678198345	0	0	0	3	0	0	0	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.0551791365078	0.0
CNAG_04627T0-8	6.45101071768	9.61378374712	0	0	0	5	3	0	1	0	2.0	11.0	813.0	142.0	823.0	63.0	107.0	126.0	1969	0.153275379188	0.00776672973909
CNAG_04628T0-1	6.50945597612	14.0543209877	0	1	0	28	1	0	11	0	7.0	14.0	1575.0	252.0	1194.0	172.0	261.0	271.0	1283	3.31317184135	0.436943031742
CNAG_04628T0-2	6.42838149505	13.3244878578	0	0	0	4	0	0	0	0	7.0	14.0	1575.0	252.0	1194.0	172.0	261.0	271.0	1283	0.0676157518644	0.0
CNAG_04629T0-1	5.90850630851	12.8339167006	0	0	0	0	0	0	0	0	6.0	26.0	1225.0	168.0	1031.0	100.0	177.0	198.0	2996	0.0	0.0
CNAG_04629T0-2	7.43025369692	12.8907339574	0	0	0	0	0	0	0	0	6.0	26.0	1225.0	168.0	1031.0	100.0	177.0	198.0	2996	0.0	0.0
CNAG_04629T0-3	5.51181657848	13.4974358974	0	0	0	0	0	0	0	0	6.0	26.0	1225.0	168.0	1031.0	100.0	177.0	198.0	2996	0.0	0.0
CNAG_04629T0-4	4.97115723782	12.7712386379	0	0	0	0	0	0	0	0	6.0	26.0	1225.0	168.0	1031.0	100.0	177.0	198.0	2996	0.0	0.0
CNAG_04630T0-1	5.80442273776	9.38922805589	0	1	1	158	39	1	179	8	46.0	135.0	4771.0	1587.0	9194.0	178.0	2554.0	3549.0	3202	13.7006729774	8.83504571255
CNAG_04630T0-2	5.55664088997	12.3560982228	0	0	0	18	8	0	27	2	46.0	135.0	4771.0	1587.0	9194.0	178.0	2554.0	3549.0	3202	0.177816777948	0.201015833602
CNAG_04631T0-1	5.47019400353	10.9490164157	0	0	0	0	0	0	1	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0	0.00923215044458
CNAG_04631T0-2	4.89008275675	13.8148419482	0	0	0	1	0	0	0	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0100916509658	0.0
CNAG_04631T0-3	5.80442273776	9.548663682	0	0	0	1	0	0	0	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0100916509658	0.0
CNAG_04631T0-4	6.51075837743	10.4882376882	0	0	0	0	0	0	0	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0	0.0
CNAG_04631T0-5	5.84875864876	13.409035409	0	0	0	0	0	0	0	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0	0.0
CNAG_04631T0-6	6.3102971103	10.6956993624	0	0	0	0	0	0	0	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0	0.0
CNAG_04631T0-7	5.61638854972	12.9174874508	0	0	0	0	1	0	1	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0	0.00923215044458
CNAG_04631T0-8	6.51075837743	10.7253832587	0	0	0	0	0	0	1	0	5.0	5.0	357.0	86.0	500.0	24.0	104.0	106.0	2671	0.0	0.00923215044458
CNAG_04632T0-1	5.67711301045	12.7550128883	0	0	0	10	1	0	9	0	13.0	36.0	958.0	714.0	4115.0	65.0	644.0	631.0	2680	0.122620303351	0.125621622373
CNAG_04632T0-2	6.40553520554	10.6736670737	0	0	0	0	0	0	0	0	13.0	36.0	958.0	714.0	4115.0	65.0	644.0	631.0	2680	0.0	0.0
CNAG_04632T0-3	6.44238230905	13.0033374033	0	0	0	4	7	0	2	1	13.0	36.0	958.0	714.0	4115.0	65.0	644.0	631.0	2680	0.0196192485361	0.00620353690729
CNAG_04632T0-4	5.84875864876	13.2374983042	0	0	1	8	8	0	6	1	13.0	36.0	958.0	714.0	4115.0	65.0	644.0	631.0	2680	0.0784769941444	0.0558318321656
CNAG_04632T0-5	6.68376068376	12.7172975173	0	0	0	3	6	0	1	0	13.0	36.0	958.0	714.0	4115.0	65.0	644.0	631.0	2680	0.0110358273016	0.00155088422682
CNAG_04632T0-6	6.07130647131	12.7094831095	0	0	0	3	1	0	0	1	13.0	36.0	958.0	714.0	4115.0	65.0	644.0	631.0	2680	0.0110358273016	0.0
CNAG_04633T0-1	5.46970560304	12.858336725	0	0	0	1	0	0	0	0	4.0	7.0	979.0	30.0	237.0	52.0	34.0	47.0	2084	0.0212904028813	0.0
CNAG_04633T0-2	6.57245963913	10.6620539954	0	0	0	0	0	0	0	0	4.0	7.0	979.0	30.0	237.0	52.0	34.0	47.0	2084	0.0	0.0
CNAG_04634T0-1	6.69765296432	11.6414597748	0	0	0	5	0	0	4	0	8.0	41.0	2826.0	130.0	885.0	101.0	188.0	249.0	3746	0.142537443019	0.0628824383695
CNAG_04635T0-1	6.13626373626	12.7779677113	0	0	0	2	2	0	1	0	15.0	43.0	3579.0	273.0	1931.0	221.0	269.0	392.0	2791	0.0104522537191	0.00249644884471
CNAG_04635T0-2	5.17758784425	13.1521910189	0	0	0	1	1	0	2	0	15.0	43.0	3579.0	273.0	1931.0	221.0	269.0	392.0	2791	0.00261306342977	0.00998579537883
CNAG_04635T0-3	6.42555962556	12.2985754986	0	0	0	4	0	0	0	0	15.0	43.0	3579.0	273.0	1931.0	221.0	269.0	392.0	2791	0.0418090148763	0.0
CNAG_04635T0-4	5.35162121829	9.20222493556	0	0	0	14	4	0	15	0	15.0	43.0	3579.0	273.0	1931.0	221.0	269.0	392.0	2791	0.512160432234	0.561700990059
CNAG_04636T0-1	6.03581603582	10.11336318	0	0	0	9	0	0	4	1	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.079438651917	0.0109494595483
CNAG_04636T0-2	5.8265635599	11.0710622711	0	0	0	30	10	0	20	1	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.882651687967	0.273736488706
CNAG_04636T0-3	5.38499525166	10.672039072	0	0	0	12	6	0	10	1	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.141224270075	0.0684341221766
CNAG_04636T0-4	6.48861755528	10.672636006	0	0	0	16	4	0	19	0	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.251065369022	0.247047181058
CNAG_04636T0-5	6.32380952381	13.0834893502	1	0	0	27	2	0	18	1	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.714947867253	0.221726555852
CNAG_04636T0-6	6.44514991182	13.3758241758	0	0	0	10	3	0	7	0	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.0980724097741	0.0335327198665
CNAG_04636T0-7	5.78032831366	11.7786460453	0	0	1	1	4	0	0	0	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.000980724097741	0.0
CNAG_04636T0-8	7.05375118708	13.5252204586	1	0	0	12	4	0	20	1	23.0	65.0	2446.0	813.0	5145.0	160.0	1222.0	1430.0	1926	0.141224270075	0.273736488706
CNAG_04637T0-1	5.22431149098	11.4519061186	5	4	4	220	65	0	232	21	57.0	109.0	9912.0	2018.0	8110.0	752.0	2887.0	2423.0	1040	30.1131878386	21.7385861106
CNAG_04637T0-2	5.22431149098	10.8044498711	0	0	0	22	13	0	19	1	57.0	109.0	9912.0	2018.0	8110.0	752.0	2887.0	2423.0	1040	0.301131878386	0.145801679287
CNAG_04637T0-3	5.46970560304	13.7276895944	0	0	0	23	10	0	3	0	57.0	109.0	9912.0	2018.0	8110.0	752.0	2887.0	2423.0	1040	0.329129676997	0.00363494491297
CNAG_04637T0-4	5.49233482567	10.8680504681	0	0	0	20	18	0	20	4	57.0	109.0	9912.0	2018.0	8110.0	752.0	2887.0	2423.0	1040	0.24886932098	0.161553107243
CNAG_04638T0-1	6.55520282187	11.5836114503	0	0	0	1	1	0	4	0	2.0	8.0	236.0	110.0	624.0	18.0	129.0	150.0	3668	0.00808625878666	0.104384847693
CNAG_04638T0-2	7.04441731108	11.3239451906	0	0	0	0	1	0	1	0	2.0	8.0	236.0	110.0	624.0	18.0	129.0	150.0	3668	0.0	0.00652405298084
CNAG_04638T0-3	6.63481210148	12.5881969882	0	0	0	1	0	0	1	0	2.0	8.0	236.0	110.0	624.0	18.0	129.0	150.0	3668	0.00808625878666	0.00652405298084
CNAG_04638T0-4	6.03158323158	10.6810473477	0	1	0	2	1	0	3	0	2.0	8.0	236.0	110.0	624.0	18.0	129.0	150.0	3668	0.0323450351467	0.0587164768275
CNAG_04638T0-5	5.61638854972	11.4159272826	0	0	0	0	0	0	1	0	2.0	8.0	236.0	110.0	624.0	18.0	129.0	150.0	3668	0.0	0.00652405298084
CNAG_04638T0-6	5.17758784425	12.7003663004	0	0	0	1	0	0	1	0	2.0	8.0	236.0	110.0	624.0	18.0	129.0	150.0	3668	0.00808625878666	0.00652405298084
CNAG_04638T0-7	6.98597205264	10.3829059829	0	0	0	2	1	0	1	0	2.0	8.0	236.0	110.0	624.0	18.0	129.0	150.0	3668	0.0323450351467	0.00652405298084
CNAG_04639T0-1	6.22097408764	11.4088726089	0	0	0	3	1	0	6	0	4.0	35.0	1797.0	144.0	980.0	116.0	149.0	230.0	4170	0.0463392136183	0.153173417811
CNAG_04639T0-2	5.8908696242	12.4659883327	0	0	0	2	1	0	2	1	4.0	35.0	1797.0	144.0	980.0	116.0	149.0	230.0	4170	0.0205952060526	0.0170192686457
CNAG_04640T0-1	5.35162121829	9.60640347307	0	2	1	128	46	0	123	10	142.0	695.0	22522.0	4102.0	21858.0	1527.0	5787.0	6591.0	4356	3.78217607793	2.24629944349
CNAG_04640T0-2	5.22431149098	11.5500746167	0	0	0	54	31	0	52	4	142.0	695.0	22522.0	4102.0	21858.0	1527.0	5787.0	6591.0	4356	0.673146084183	0.401480183436
CNAG_04640T0-3	5.78032831366	12.2911952245	0	0	0	9	1	0	13	0	142.0	695.0	22522.0	4102.0	21858.0	1527.0	5787.0	6591.0	4356	0.0186985023384	0.0250925114648
CNAG_04640T0-4	5.42395875729	10.274372541	0	0	0	19	16	0	13	1	142.0	695.0	22522.0	4102.0	21858.0	1527.0	5787.0	6591.0	4356	0.0833353005453	0.0250925114648
CNAG_04640T0-5	5.42395875729	13.3877628544	0	0	0	108	20	1	77	10	142.0	695.0	22522.0	4102.0	21858.0	1527.0	5787.0	6591.0	4356	2.69258433673	0.880316570855
CNAG_04640T0-6	5.59701533035	11.4981956315	2	1	0	83	26	0	60	4	142.0	695.0	22522.0	4102.0	21858.0	1527.0	5787.0	6591.0	4356	1.5902960816	0.534515037119
CNAG_04641T0-1	6.6014380681	10.1197123864	0	0	0	3	5	0	1	1	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.0175405289092	0.00244651986781
CNAG_04641T0-10	6.4741283408	13.2443901777	0	0	0	5	0	0	1	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.0487236914144	0.00244651986781
CNAG_04641T0-11	6.3826346493	13.879636413	0	0	0	0	0	0	0	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.0	0.0
CNAG_04641T0-12	6.36581196581	13.08001628	0	0	0	3	0	0	0	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.0175405289092	0.0
CNAG_04641T0-2	7.49195495862	13.3322479989	0	0	0	0	1	0	3	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.0	0.0220186788103
CNAG_04641T0-3	4.93219373219	12.7237552571	0	0	0	1	0	0	0	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.00194894765658	0.0
CNAG_04641T0-4	5.47019400353	11.1663003663	0	0	0	0	2	0	0	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.0	0.0
CNAG_04641T0-5	7.38608058608	12.0405915073	0	0	0	1	0	0	1	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.00194894765658	0.00244651986781
CNAG_04641T0-6	6.93279066612	10.6953194953	0	0	0	0	0	0	0	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.0	0.0
CNAG_04641T0-7	5.55664088997	11.5986975987	0	0	0	2	1	0	1	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.00779579062631	0.00244651986781
CNAG_04641T0-8	5.49233482567	10.4884004884	0	0	0	1	2	0	0	0	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.00194894765658	0.0
CNAG_04641T0-9	6.9661646995	13.3881427215	0	0	0	1	0	0	0	1	6.0	16.0	849.0	325.0	2589.0	61.0	317.0	400.0	4048	0.00194894765658	0.0
CNAG_04642T0-1	5.46970560304	12.5733279067	0	0	1	5	0	0	0	0	10.0	43.0	2879.0	241.0	1416.0	151.0	302.0	298.0	2512	0.089085901887	0.0
CNAG_04642T0-2	6.9397368064	13.2579025912	0	0	0	3	1	0	1	0	10.0	43.0	2879.0	241.0	1416.0	151.0	302.0	298.0	2512	0.0320709246793	0.00328391928566
CNAG_04642T0-3	7.81902048569	12.9080993081	0	0	0	5	0	0	4	0	10.0	43.0	2879.0	241.0	1416.0	151.0	302.0	298.0	2512	0.089085901887	0.0525427085705
CNAG_04646T0-1	6.71686338353	12.6712793379	0	0	0	1	0	0	1	0	1.0	5.0	333.0	13.0	93.0	25.0	15.0	18.0	920	0.0542561879879	0.0543671081736
CNAG_04647T0-1	6.15303215303	13.5572920906	1	0	0	6	0	0	2	0	5.0	12.0	2534.0	71.0	413.0	138.0	89.0	98.0	1933	0.439829824173	0.0399431815153
CNAG_04648T0-1	5.8908696242	11.0774657441	0	0	0	5	1	0	5	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0432449904258	0.0467785825586
CNAG_04648T0-10	5.49233482567	9.8835978836	0	0	0	0	1	0	1	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0	0.00187114330234
CNAG_04648T0-11	5.55078008411	13.3954144621	0	0	0	5	1	0	2	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0432449904258	0.00748457320937
CNAG_04648T0-12	7.41088047755	11.2370641704	0	0	0	3	1	0	1	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0155681965533	0.00187114330234
CNAG_04648T0-13	5.4071360738	13.1795957129	1	0	0	3	1	0	5	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0155681965533	0.0467785825586
CNAG_04648T0-14	6.30058336725	12.6783340117	0	0	0	4	2	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0276767938725	0.0
CNAG_04648T0-15	5.49233482567	10.9659476326	0	0	0	1	0	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.00172979961703	0.0
CNAG_04648T0-16	6.09751729752	11.5405236739	0	0	0	6	0	0	2	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0622727862131	0.00748457320937
CNAG_04648T0-17	4.93219373219	13.5788902456	0	0	0	1	0	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.00172979961703	0.0
CNAG_04648T0-18	5.80393433727	13.195333062	0	0	0	4	1	0	1	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0276767938725	0.00187114330234
CNAG_04648T0-19	6.74605887939	12.23665717	0	0	0	1	2	0	2	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.00172979961703	0.00748457320937
CNAG_04648T0-2	6.45101071768	8.84211097544	0	0	0	0	0	0	2	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0	0.00748457320937
CNAG_04648T0-20	4.93219373219	12.4984398318	0	0	0	1	0	0	2	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.00172979961703	0.00748457320937
CNAG_04648T0-21	6.86620539954	10.4871523538	0	0	0	3	1	0	2	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0155681965533	0.00748457320937
CNAG_04648T0-22	5.36502509836	10.4582281916	0	0	0	3	0	0	2	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0155681965533	0.00748457320937
CNAG_04648T0-3	5.49233482567	11.4122914123	0	0	0	0	1	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0	0.0
CNAG_04648T0-4	5.78032831366	13.0793650794	0	0	0	0	0	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0	0.0
CNAG_04648T0-5	6.3826346493	12.0188305522	0	0	0	0	0	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0	0.0
CNAG_04648T0-6	7.48452041785	11.4472934473	0	0	0	0	0	0	1	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0	0.00187114330234
CNAG_04648T0-7	4.93219373219	11.404368471	0	0	0	2	0	0	1	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.00691919846812	0.00187114330234
CNAG_04648T0-8	6.40341880342	13.5532763533	0	0	0	3	0	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0155681965533	0.0
CNAG_04648T0-9	6.22097408764	12.6546737213	0	0	0	5	1	0	0	0	8.0	33.0	1255.0	463.0	2917.0	106.0	445.0	523.0	5704	0.0432449904258	0.0
CNAG_04649T0-1	5.55078008411	13.7128747795	0	0	0	0	3	0	4	0	3.0	8.0	1024.0	156.0	1040.0	72.0	166.0	235.0	2176	0.0	0.0666286261873
CNAG_04649T0-2	6.13989960657	11.207977208	0	0	0	0	1	0	1	0	3.0	8.0	1024.0	156.0	1040.0	72.0	166.0	235.0	2176	0.0	0.0041642891367
CNAG_04649T0-3	5.90850630851	13.1654320988	0	0	0	3	0	0	0	1	3.0	8.0	1024.0	156.0	1040.0	72.0	166.0	235.0	2176	0.043665797448	0.0
CNAG_04649T0-4	5.93124406458	11.5323836657	0	0	0	0	1	0	0	0	3.0	8.0	1024.0	156.0	1040.0	72.0	166.0	235.0	2176	0.0	0.0
CNAG_04650T0-1	5.95061728395	11.1137701804	0	0	0	1	0	0	0	0	5.0	8.0	652.0	159.0	1156.0	42.0	120.0	155.0	2135	0.00436490093675	0.0
CNAG_04650T0-2	7.80626780627	11.1394926062	0	0	0	0	1	0	1	0	5.0	8.0	652.0	159.0	1156.0	42.0	120.0	155.0	2135	0.0	0.00631359965887
CNAG_04650T0-3	8.01600868268	11.3308913309	0	0	0	3	1	0	2	0	5.0	8.0	652.0	159.0	1156.0	42.0	120.0	155.0	2135	0.0392841084307	0.0252543986355
CNAG_04650T0-4	5.88500881834	13.7009361009	0	0	0	1	0	0	2	0	5.0	8.0	652.0	159.0	1156.0	42.0	120.0	155.0	2135	0.00436490093675	0.0252543986355
CNAG_04650T0-5	5.92983312983	12.5960656627	0	0	0	1	0	0	0	0	5.0	8.0	652.0	159.0	1156.0	42.0	120.0	155.0	2135	0.00436490093675	0.0
CNAG_04650T0-6	6.03158323158	13.6486772487	0	0	0	2	0	0	0	0	5.0	8.0	652.0	159.0	1156.0	42.0	120.0	155.0	2135	0.017459603747	0.0
CNAG_04650T0-7	7.15832315832	13.7427757428	0	0	0	1	0	0	0	0	5.0	8.0	652.0	159.0	1156.0	42.0	120.0	155.0	2135	0.00436490093675	0.0
